risk_mode,rows,spins,theoretical_rtp,theoretical_house_edge,theoretical_variance,theoretical_std_dev,observed_rtp,observed_house_edge,total_bet,total_payout,player_profit,house_profit,max_single_payout,house_loss_spins,house_loss_spins_pct,edge_hits,edge_hits_pct,center_hits,center_hits_pct,jackpot_hits,max_house_drawdown,avg_spins_to_bust,median_spins_to_bust,p90_spins_to_bust,avg_bust_balance,survival_100,survival_500,survival_1000,basket_0,basket_1,basket_2,basket_3,basket_4,basket_5,basket_6,basket_7,basket_8,basket_9,basket_10,basket_11,basket_12,basket_13,basket_14,basket_15,basket_16
low,8,100000,0.9696796875,0.030320312500000002,0.3021113739624023,0.5496465900580139,0.9743142399998581,0.02568576000014189,100000.0,97431.42399998581,-2568.5759999997176,2568.5759999997176,5.457,29236,29.236,839,0.839,27194,27.194000000000003,0,-0.33299999999999885,3222.987,3098.0,4698,2.353114499997221,100.0,100.0,100.0,437,3191,11090,21903,27194,21667,10957,3159,402,0,0,0,0,0,0,0,0
low,10,100000,0.9699296875,0.03007031250000003,0.2673379052124023,0.5170472949473793,0.9702430800003574,0.029756919999642584,100000.0,97024.30800003574,-2975.691999999237,2975.691999999237,7.318,34256,34.256,211,0.211,24653,24.653,0,-6.253999999999998,3280.9225,3185.0,4606,2.045024999995759,100.0,100.0,100.0,111,968,4353,11753,20679,24653,20412,11594,4397,980,100,0,0,0,0,0,0
low,12,100000,0.96988720703125,0.030112792968750024,0.2198180990941525,0.46884762886694065,0.9693791200011938,0.03062087999880625,100000.0,96937.91200011938,-3062.088000000729,3062.088000000729,9.834,38623,38.623000000000005,57,0.056999999999999995,22650,22.650000000000002,0,-1.005,3268.2125,3160.5,4509,1.639721499994585,100.0,100.0,100.0,24,275,1649,5343,12001,19240,22650,19487,12128,5251,1629,290,33,0,0,0,0
low,14,100000,0.9700113525390626,0.029988647460937434,0.17221067723928385,0.41498274330300033,0.9699584899994688,0.030041510000531235,100000.0,96995.84899994687,-3004.151000000708,3004.151000000708,13.094,42398,42.398,12,0.012,20904,20.904,0,-5.882000000000124,3282.0845,3190.5,4338,1.1711440000038498,100.0,100.0,100.0,7,80,610,2146,6189,12167,18253,20904,18445,12304,6033,2219,555,83,5,0,0
low,16,100000,0.9699223937988282,0.030077606201171836,0.13272833372947468,0.3643189999567339,0.9688924999999,0.031107500000099986,100000.0,96889.24999999,-3110.7500000006207,3110.7500000006207,16.001,45295,45.295,1,0.001,19712,19.712,0,-0.10000000000000009,3290.195,3223.5,4182,0.9310985000003114,100.0,100.0,100.0,0,20,191,820,2824,6673,12303,17499,19712,17494,12036,6622,2745,834,197,29,1
medium,8,100000,0.970046875,0.029953125000000025,1.2133208103027342,1.1015084249803695,0.9735319899995338,0.02646801000046617,100000.0,97353.19899995338,-2646.8009999964916,2646.8009999964916,10.971,28861,28.860999999999997,812,0.812,27267,27.267000000000003,0,-28.17199999999994,2985.7365,2738.0,5000,10.876569499999174,100.0,100.0,96.85000000000001,395,3147,10920,21902,27267,21970,10848,3134,417,0,0,0,0,0,0,0,0
medium,10,100000,0.970041015625,0.029958984374999997,1.596732664333343,1.2636188762175655,0.970304970000483,0.02969502999951701,100000.0,97030.4970000483,-2969.5030000032125,2969.5030000032125,18.962,34427,34.427,200,0.2,24748,24.748,0,-5.903999999999998,2887.4965,2626.5,5000,13.357709500000839,100.0,99.95,95.39999999999999,90,950,4446,11759,20373,24748,20452,11685,4404,983,110,0,0,0,0,0,0
medium,12,100000,0.9698671875,0.030132812499999995,2.0748916806030273,1.4404484303865333,0.975999930001659,0.024000069998341034,100000.0,97599.9930001659,-2400.0069999997945,2400.0069999997945,34.538,38728,38.728,46,0.046,22938,22.938,0,-35.529999999999475,2796.1925,2491.5,5000,16.45088349999904,100.0,100.0,92.35,19,317,1641,5444,12093,19226,22938,19108,11947,5302,1614,324,27,0,0,0,0
medium,14,100000,0.970001220703125,0.029998779296875,2.3728705852035876,1.5404124724253525,0.9681329599996942,0.031867040000305824,100000.0,96813.29599996941,-3186.703999993624,3186.703999993624,60.598,42406,42.406,10,0.01,20880,20.880000000000003,0,-19.08800000000001,2787.0625,2437.5,5000,19.11002449999822,100.0,99.95,91.95,8,78,532,2294,6098,12256,18410,20880,18304,12164,6100,2224,562,88,2,0,0
medium,16,100000,0.9697971496582032,0.030202850341796816,2.499663598042413,1.5810324468657855,0.9761328700001655,0.023867129999834535,100000.0,97613.28700001654,-2386.7129999996946,2386.7129999996946,110.033,45607,45.607,2,0.002,19659,19.659,2,-8.004,2694.7215,2301.0,5000,16.802680500000758,100.0,100.0,93.05,0,27,188,829,2809,6669,12163,17425,19659,17309,12314,6688,2802,880,209,27,2
high,8,100000,0.97009375,0.029906250000000023,5.491677147460939,2.343432769989559,0.975243509998914,0.02475649000108604,100000.0,97524.3509998914,-2475.6490000006584,2475.6490000006584,24.984,29014,29.014,793,0.7929999999999999,27391,27.391,0,-209.58200000001494,2265.79,1669.0,5000,27.41868299999873,100.0,92.75,71.65,397,3122,10908,21801,27391,21794,11018,3173,396,0,0,0,0,0,0,0,0
high,10,100000,0.9700078125,0.02999218749999999,8.563592792907714,2.9263616989203016,0.9525656300003047,0.0474343699996953,100000.0,95256.56300003047,-4743.43700000095,4743.43700000095,54.363,34542,34.542,169,0.169,24465,24.465,0,-13.508000000002916,2107.3405,1404.5,5000,36.647150500000166,100.0,88.14999999999999,62.8,82,907,4400,11681,20591,24465,20402,11881,4520,984,87,0,0,0,0,0,0
high,12,100000,0.96983056640625,0.030169433593750017,14.703625712014913,3.8345307029693885,0.9541360999990266,0.0458639000009734,100000.0,95413.60999990266,-4586.38999999688,4586.38999999688,140.065,14506,14.506,43,0.043,22450,22.45,43,-173.38000000000633,1832.818,1053.5,5000,40.27852100000266,100.0,82.25,52.05,23,285,1606,5316,12119,19496,22450,19351,12078,5390,1586,280,20,0,0,0,0
high,14,100000,0.969943603515625,0.03005639648437497,21.521490378899514,4.639126036108473,0.9636830900003218,0.03631690999967818,100000.0,96368.30900003218,-3631.6909999985005,3631.6909999985005,343.18,18299,18.299000000000003,7,0.006999999999999999,20678,20.678,7,0.0,1699.2255,952.0,5000,51.55002050000162,100.0,83.05,47.9,2,90,594,2234,6240,12337,18275,20678,18146,12265,6294,2210,542,88,5,0,0
high,16,100000,0.9699425659179688,0.03005743408203121,33.39540641613492,5.778875878242664,0.9561774299988601,0.04382257000113987,100000.0,95617.74299988602,-4382.257000000171,4382.257000000171,894.293,21135,21.135,2,0.002,19637,19.637,44,-207.0970000000006,1684.5365,981.0,5000,59.530844499999624,100.0,89.95,48.699999999999996,1,18,206,856,2744,6708,12039,17341,19637,17555,12293,6713,2833,858,173,24,1
